Ball#,Pin Name,Type,Ball Reset State,Pull Up/Down,Buffer Strength (mA),Power Supply
DRAM,,,,,,
T17,SA0,O,Z,NA,NA,VCC-DRAM
U18,SA1,O,Z,NA,NA,VCC-DRAM
V19,SA2,O,Z,NA,NA,VCC-DRAM
V20,SA3,O,Z,NA,NA,VCC-DRAM
V21,SA4,O,Z,NA,NA,VCC-DRAM
Y19,SA5,O,Z,NA,NA,VCC-DRAM
Y20,SA6,O,Z,NA,NA,VCC-DRAM
V15,SA7,O,Z,NA,NA,VCC-DRAM
W18,SA8,O,Z,NA,NA,VCC-DRAM
Y18,SA9,O,Z,NA,NA,VCC-DRAM
P19,SA10,O,Z,NA,NA,VCC-DRAM
N19,SA11,O,Z,NA,NA,VCC-DRAM
R18,SA12,O,Z,NA,NA,VCC-DRAM
V12,SA13,O,Z,NA,NA,VCC-DRAM
N17,SA14,O,Z,NA,NA,VCC-DRAM
R17,SA15,O,Z,NA,NA,VCC-DRAM
W17,SBA0,O,Z,NA,NA,VCC-DRAM
T18,SBA1,O,Z,NA,NA,VCC-DRAM
V17,SBA2,O,Z,NA,NA,VCC-DRAM
U15,SCAS,O,Z,NA,NA,VCC-DRAM
AA19,SCK,O,Z,NA,NA,VCC-DRAM
AA20,SCKB,O,Z,NA,NA,VCC-DRAM
AA21,SCKE0,O,Z,NA,NA,VCC-DRAM
Y21,SCKE1,O,Z,NA,NA,VCC-DRAM
W20,SCS0,O,Z,NA,NA,VCC-DRAM
W21,SCS1,O,Z,NA,NA,VCC-DRAM
W11,SODT0,O,Z,NA,NA,VCC-DRAM
V11,SODT1,O,Z,NA,NA,VCC-DRAM
N20,SDQ0,I/O,Z,NA,NA,VCC-DRAM
P21,SDQ1,I/O,Z,NA,NA,VCC-DRAM
P20,SDQ2,I/O,Z,NA,NA,VCC-DRAM
U21,SDQ3,I/O,Z,NA,NA,VCC-DRAM
R19,SDQ4,I/O,Z,NA,NA,VCC-DRAM
T20,SDQ5,I/O,Z,NA,NA,VCC-DRAM
U19,SDQ6,I/O,Z,NA,NA,VCC-DRAM
U20,SDQ7,I/O,Z,NA,NA,VCC-DRAM
J19,SDQ8,I/O,Z,NA,NA,VCC-DRAM
H20,SDQ9,I/O,Z,NA,NA,VCC-DRAM
H21,SDQ10,I/O,Z,NA,NA,VCC-DRAM
J21,SDQ11,I/O,Z,NA,NA,VCC-DRAM
L20,SDQ12,I/O,Z,NA,NA,VCC-DRAM
