allwinner_h5

Pin,Unit,Name,Type,Style
N20,DRAM_SDQ,SDQ0,bidirectional,
P21,DRAM_SDQ,SDQ1,bidirectional,
P20,DRAM_SDQ,SDQ2,bidirectional,
U21,DRAM_SDQ,SDQ3,bidirectional,
R19,DRAM_SDQ,SDQ4,bidirectional,
T20,DRAM_SDQ,SDQ5,bidirectional,
U19,DRAM_SDQ,SDQ6,bidirectional,
U20,DRAM_SDQ,SDQ7,bidirectional,
J19,DRAM_SDQ,SDQ8,bidirectional,
H20,DRAM_SDQ,SDQ9,bidirectional,
H21,DRAM_SDQ,SDQ10,bidirectional,
J21,DRAM_SDQ,SDQ11,bidirectional,
L20,DRAM_SDQ,SDQ12,bidirectional,
L21,DRAM_SDQ,SDQ13,bidirectional,
M21,DRAM_SDQ,SDQ14,bidirectional,
M19,DRAM_SDQ,SDQ15,bidirectional,
Y17,DRAM_SDQ,SDQ16,bidirectional,
AA17,DRAM_SDQ,SDQ17,bidirectional,
Y16,DRAM_SDQ,SDQ18,bidirectional,
W15,DRAM_SDQ,SDQ19,bidirectional,
Y14,DRAM_SDQ,SDQ20,bidirectional,
AA14,DRAM_SDQ,SDQ21,bidirectional,
Y13,DRAM_SDQ,SDQ22,bidirectional,
Y12,DRAM_SDQ,SDQ23,bidirectional,
W12,DRAM_SDQ,SDQ24,bidirectional,
AA11,DRAM_SDQ,SDQ25,bidirectional,
Y11,DRAM_SDQ,SDQ26,bidirectional,
Y10,DRAM_SDQ,SDQ27,bidirectional,
W9,DRAM_SDQ,SDQ28,bidirectional,
AA8,DRAM_SDQ,SDQ29,bidirectional,
Y8,DRAM_SDQ,SDQ30,bidirectional,
Y7,DRAM_SDQ,SDQ31,bidirectional,
T17,DRAM_SA,SA0,output,
U18,DRAM_SA,SA1,output,
V19,DRAM_SA,SA2,output,
V20,DRAM_SA,SA3,output,
V21,DRAM_SA,SA4,output,
Y19,DRAM_SA,SA5,output,
Y20,DRAM_SA,SA6,output,
V15,DRAM_SA,SA7,output,
W18,DRAM_SA,SA8,output,
Y18,DRAM_SA,SA9,output,
P19,DRAM_SA,SA10,output,
N19,DRAM_SA,SA11,output,
R18,DRAM_SA,SA12,output,
V12,DRAM_SA,SA13,output,
N17,DRAM_SA,SA14,output,
R17,DRAM_SA,SA15,output,
U15,DRAM,SCAS,output,
V13,DRAM,SRAS,output,
*,DRAM,,,
AA19,DRAM,SCK,output,
AA20,DRAM,SCKB,output,
AA21,DRAM,SCKE0,output,
Y21,DRAM,SCKE1,output,
*,DRAM,,,
W20,DRAM,SCS0,output,
W21,DRAM,SCS1,output,
*,DRAM,,,
W17,DRAM,SBA0,output,
T18,DRAM,SBA1,output,
V17,DRAM,SBA2,output,
*,DRAM,,,
W11,DRAM,SODT0,output,
V11,DRAM,SODT1,output,
*,DRAM,,,
M20,DRAM,SDQM0,output,
G20,DRAM,SDQM1,output,
AA18,DRAM,SDQM2,output,
AA12,DRAM,SDQM3,output,
*,DRAM,,,
R20,DRAM,SDQS0,bidirectional,
K20,DRAM,SDQS1,bidirectional,
AA15,DRAM,SDQS2,bidirectional,
AA9,DRAM,SDQS3,bidirectional,
*,DRAM,,,
R21,DRAM,SDQS0B,bidirectional,
J20,DRAM,SDQS1B,bidirectional,
Y15,DRAM,SDQS2B,bidirectional,
Y9,DRAM,SDQS3B,bidirectional,
*,DRAM,,,
U16,DRAM,SRST,output,
T16,DRAM,SVREF,power_in,
W13,DRAM,SWE,output,
V10,DRAM,SZQ,input,analog
*,DRAM,,,
L16,DRAM,VCC-DRAM,power_in,
M16,DRAM,VCC-DRAM,power_in,
N16,DRAM,VCC-DRAM,power_in,
P16,DRAM,VCC-DRAM,power_in,
P17,DRAM,VCC-DRAM,power_in,
R16,DRAM,VCC-DRAM,power_in,
T12,DRAM,VCC-DRAM,power_in,
T13,DRAM,VCC-DRAM,power_in,
T14,DRAM,VCC-DRAM,power_in,
T15,DRAM,VCC-DRAM,power_in,
U11,DRAM,VCC-DRAM,power_in,
D11,GPIOA,PA0,bidirectional,
D5,GPIOA,PA1,bidirectional,
D6,GPIOA,PA2,bidirectional,
E13,GPIOA,PA3,bidirectional,
F5,GPIOA,PA4,bidirectional,
H6,GPIOA,PA5,bidirectional,
E14,GPIOA,PA6,bidirectional,
D8,GPIOA,PA7,bidirectional,
F13,GPIOA,PA8,bidirectional,
D13,GPIOA,PA9,bidirectional,
E11,GPIOA,PA10,bidirectional,
F11,GPIOA,PA11,bidirectional,
C13,GPIOA,PA12,bidirectional,
E15,GPIOA,PA13,bidirectional,
G12,GPIOA,PA14,bidirectional,
F14,GPIOA,PA15,bidirectional,
D15,GPIOA,PA16,bidirectional,
C14,GPIOA,PA17,bidirectional,
B13,GPIOA,PA18,bidirectional,
B14,GPIOA,PA19,bidirectional,
A13,GPIOA,PA20,bidirectional,
A14,GPIOA,PA21,bidirectional,
C15,GPIOC,PC0,bidirectional,
C16,GPIOC,PC1,bidirectional,
B16,GPIOC,PC2,bidirectional,
B15,GPIOC,PC3,bidirectional,
F16,GPIOC,PC4,bidirectional,
A17,GPIOC,PC5,bidirectional,
E16,GPIOC,PC6,bidirectional,
A16,GPIOC,PC7,bidirectional,
B18,GPIOC,PC8,bidirectional,
C17,GPIOC,PC9,bidirectional,
D17,GPIOC,PC10,bidirectional,
C18,GPIOC,PC11,bidirectional,
B17,GPIOC,PC12,bidirectional,
B19,GPIOC,PC13,bidirectional,
F17,GPIOC,PC14,bidirectional,
C19,GPIOC,PC15,bidirectional,
H16,GPIOC,PC16,bidirectional,
*,GPIOC,,,
G15,GPIOC,VCC-PC,power_in,
C21,GPIOD,PD0,bidirectional,
H17,GPIOD,PD1,bidirectional,
B20,GPIOD,PD2,bidirectional,
H18,GPIOD,PD3,bidirectional,
A20,GPIOD,PD4,bidirectional,
F19,GPIOD,PD5,bidirectional,
B21,GPIOD,PD6,bidirectional,
E18,GPIOD,PD7,bidirectional,
E20,GPIOD,PD8,bidirectional,
F21,GPIOD,PD9,bidirectional,
H19,GPIOD,PD10,bidirectional,
F20,GPIOD,PD11,bidirectional,
E19,GPIOD,PD12,bidirectional,
K17,GPIOD,PD13,bidirectional,
L17,GPIOD,PD14,bidirectional,
K18,GPIOD,PD15,bidirectional,
L18,GPIOD,PD16,bidirectional,
L19,GPIOD,PD17,bidirectional,
*,GPIOD,,,
J15,GPIOD,VCC-PD,power_in,
B10,GPIOE,PE0,bidirectional,
A10,GPIOE,PE1,bidirectional,
B11,GPIOE,PE2,bidirectional,
C10,GPIOE,PE3,bidirectional,
C9,GPIOE,PE4,bidirectional,
E10,GPIOE,PE5,bidirectional,
D10,GPIOE,PE6,bidirectional,
C8,GPIOE,PE7,bidirectional,
C11,GPIOE,PE8,bidirectional,
C12,GPIOE,PE9,bidirectional,
E8,GPIOE,PE10,bidirectional,
A11,GPIOE,PE11,bidirectional,
B12,GPIOE,PE12,bidirectional,
C7,GPIOE,PE13,bidirectional,
C6,GPIOE,PE14,bidirectional,
C5,GPIOE,PE15,bidirectional,
D19,GPIOF,PF0,bidirectional,
A19,GPIOF,PF1,bidirectional,
D20,GPIOF,PF2,bidirectional,
F18,GPIOF,PF3,bidirectional,
E21,GPIOF,PF4,bidirectional,
C20,GPIOF,PF5,bidirectional,
G18,GPIOF,PF6,bidirectional,
J3,GPIOG,PG0,bidirectional,
L2,GPIOG,PG1,bidirectional,
H4,GPIOG,PG2,bidirectional,
F3,GPIOG,PG3,bidirectional,
C2,GPIOG,PG4,bidirectional,
C1,GPIOG,PG5,bidirectional,
G4,GPIOG,PG6,bidirectional,
D3,GPIOG,PG7,bidirectional,
C3,GPIOG,PG8,bidirectional,
E3,GPIOG,PG9,bidirectional,
M3,GPIOG,PG10,bidirectional,
D2,GPIOG,PG11,bidirectional,
D1,GPIOG,PG12,bidirectional,
B1,GPIOG,PG13,bidirectional,
H7,GPIOG,VCC-PG,power_in,
N1,GPIOL,PL0,bidirectional,
M1,GPIOL,PL1,bidirectional,
P2,GPIOL,PL2,bidirectional,
R1,GPIOL,PL3,bidirectional,
N2,GPIOL,PL4,bidirectional,
R2,GPIOL,PL5,bidirectional,
T4,GPIOL,PL6,bidirectional,
T3,GPIOL,PL7,bidirectional,
T2,GPIOL,PL8,bidirectional,
M6,GPIOL,PL9,bidirectional,
V2,GPIOL,PL10,bidirectional,
U2,GPIOL,PL11,bidirectional,
AA6,SYSTEM,NMI,input,
*,SYSTEM,,,
V6,SYSTEM,RESET,bidirectional,
*,SYSTEM,,,
T5,SYSTEM,TEST,input,
*,SYSTEM,,,
W6,SYSTEM,UBOOT,input,
*,SYSTEM,,,
A1,SYSTEM,JTAG-SEL0,input,
B2,SYSTEM,JTAG-SEL1,input,
AA5,ADC,KEYADC,input,analog
F10,TV_OUT,TVOUT,output,analog
*,TV_OUT,,,
G9,TV_OUT,V33-TV,power_in,
A2,EPHY,EPHY-LINK-LED,output,
F7,EPHY,EPHY-SPD-LED,output,
*,EPHY,,,
F6,EPHY,EPHY-RTX,input,analog
A4,EPHY,EPHY-RXN,bidirectional,
B4,EPHY,EPHY-RXP,bidirectional,
A3,EPHY,EPHY-TXN,bidirectional,
B3,EPHY,EPHY-TXP,bidirectional,
