allwinner_h5

Pin,Unit,Name,Type,Style
N20,DRAM_SDQ,SDQ0,bidirectional,
P21,DRAM_SDQ,SDQ1,bidirectional,
P20,DRAM_SDQ,SDQ2,bidirectional,
U21,DRAM_SDQ,SDQ3,bidirectional,
R19,DRAM_SDQ,SDQ4,bidirectional,
T20,DRAM_SDQ,SDQ5,bidirectional,
U19,DRAM_SDQ,SDQ6,bidirectional,
U20,DRAM_SDQ,SDQ7,bidirectional,
J19,DRAM_SDQ,SDQ8,bidirectional,
H20,DRAM_SDQ,SDQ9,bidirectional,
H21,DRAM_SDQ,SDQ10,bidirectional,
J21,DRAM_SDQ,SDQ11,bidirectional,
L20,DRAM_SDQ,SDQ12,bidirectional,
L21,DRAM_SDQ,SDQ13,bidirectional,
M21,DRAM_SDQ,SDQ14,bidirectional,
M19,DRAM_SDQ,SDQ15,bidirectional,
Y17,DRAM_SDQ,SDQ16,bidirectional,
AA17,DRAM_SDQ,SDQ17,bidirectional,
Y16,DRAM_SDQ,SDQ18,bidirectional,
W15,DRAM_SDQ,SDQ19,bidirectional,
Y14,DRAM_SDQ,SDQ20,bidirectional,
AA14,DRAM_SDQ,SDQ21,bidirectional,
Y13,DRAM_SDQ,SDQ22,bidirectional,
Y12,DRAM_SDQ,SDQ23,bidirectional,
W12,DRAM_SDQ,SDQ24,bidirectional,
AA11,DRAM_SDQ,SDQ25,bidirectional,
Y11,DRAM_SDQ,SDQ26,bidirectional,
Y10,DRAM_SDQ,SDQ27,bidirectional,
W9,DRAM_SDQ,SDQ28,bidirectional,
AA8,DRAM_SDQ,SDQ29,bidirectional,
Y8,DRAM_SDQ,SDQ30,bidirectional,
Y7,DRAM_SDQ,SDQ31,bidirectional,
T17,DRAM_SA,SA0,output,
U18,DRAM_SA,SA1,output,
V19,DRAM_SA,SA2,output,
V20,DRAM_SA,SA3,output,
V21,DRAM_SA,SA4,output,
Y19,DRAM_SA,SA5,output,
Y20,DRAM_SA,SA6,output,
V15,DRAM_SA,SA7,output,
W18,DRAM_SA,SA8,output,
Y18,DRAM_SA,SA9,output,
P19,DRAM_SA,SA10,output,
N19,DRAM_SA,SA11,output,
R18,DRAM_SA,SA12,output,
V12,DRAM_SA,SA13,output,
N17,DRAM_SA,SA14,output,
R17,DRAM_SA,SA15,output,
U15,DRAM,SCAS,output,
V13,DRAM,SRAS,output,
*,DRAM,,,
AA19,DRAM,SCK,output,
AA20,DRAM,SCKB,output,
AA21,DRAM,SCKE0,output,
Y21,DRAM,SCKE1,output,
*,DRAM,,,
W20,DRAM,SCS0,output,
W21,DRAM,SCS1,output,
*,DRAM,,,
W17,DRAM,SBA0,output,
T18,DRAM,SBA1,output,
V17,DRAM,SBA2,output,
*,DRAM,,,
W11,DRAM,SODT0,output,
V11,DRAM,SODT1,output,
*,DRAM,,,
M20,DRAM,SDQM0,output,
G20,DRAM,SDQM1,output,
AA18,DRAM,SDQM2,output,
AA12,DRAM,SDQM3,output,
*,DRAM,,,
R20,DRAM,SDQS0,bidirectional,
K20,DRAM,SDQS1,bidirectional,
AA15,DRAM,SDQS2,bidirectional,
AA9,DRAM,SDQS3,bidirectional,
*,DRAM,,,
R21,DRAM,SDQS0B,bidirectional,
J20,DRAM,SDQS1B,bidirectional,
Y15,DRAM,SDQS2B,bidirectional,
Y9,DRAM,SDQS3B,bidirectional,
*,DRAM,,,
U16,DRAM,SRST,output,
T16,DRAM,SVREF,power_in,
W13,DRAM,SWE,output,
V10,DRAM,SZQ,input,analog
*,DRAM,,,
L16,DRAM,VCC-DRAM,power_in,
M16,DRAM,VCC-DRAM,power_in,
N16,DRAM,VCC-DRAM,power_in,
P16,DRAM,VCC-DRAM,power_in,
P17,DRAM,VCC-DRAM,power_in,
R16,DRAM,VCC-DRAM,power_in,
T12,DRAM,VCC-DRAM,power_in,
T13,DRAM,VCC-DRAM,power_in,
T14,DRAM,VCC-DRAM,power_in,
T15,DRAM,VCC-DRAM,power_in,
U11,DRAM,VCC-DRAM,power_in,
D11,GPIOA,UART2_TX/JTAG_MS/PA_EINT0/PA0,bidirectional,
D5,GPIOA,UART2_RX/JTAG_CK/PA_EINT1/PA1,bidirectional,
D6,GPIOA,UART2_RTS/JTAG_DO/PA_EINT2/PA2,bidirectional,
E13,GPIOA,UART2_CTS/JTAG_DI/PA_EINT3/PA3,bidirectional,
F5,GPIOA,UART0_TX/PA_EINT4/PA4,bidirectional,
H6,GPIOA,UART0_RX/PWM0/PA_EINT5/PA5,bidirectional,
E14,GPIOA,SIM0_PWREN/PCM0_MCLK/PA_EINT6/PA6,bidirectional,
D8,GPIOA,SIM0_CLK/PA_EINT7/PA7,bidirectional,
F13,GPIOA,SIM0_DATA/PA_EINT8/PA8,bidirectional,
D13,GPIOA,SIM0_RST/PA_EINT9/PA9,bidirectional,
E11,GPIOA,SIM0_DET/PA_EINT10/PA10,bidirectional,
F11,GPIOA,TWI0_SCK/DI_TX/PA_EINT11/PA11,bidirectional,
C13,GPIOA,TWI0_SDA/DI_RX/PA_EINT12/PA12,bidirectional,
E15,GPIOA,SPI1_CS/UART3_TX/PA_EINT13/PA13,bidirectional,
G12,GPIOA,SPI1_CLK/UART3_RX/PA_EINT14/PA14,bidirectional,
F14,GPIOA,SPI1_MOSI/UART3_RTS/PA_EINT15/PA15,bidirectional,
D15,GPIOA,SPI1_MISO/UART3_CTS/PA_EINT16/PA16,bidirectional,
C14,GPIOA,OWA_OUT/PA_EINT17/PA17,bidirectional,
B13,GPIOA,PCM0_SYNC/TWI1_SCK/PA_EINT18/PA18,bidirectional,
B14,GPIOA,PCM0_CLK/TWI1_SDA/PA_EINT19/PA19,bidirectional,
A13,GPIOA,PCM0_DOUT/SIM0_VPPEN/PA_EINT20/PA20,bidirectional,
A14,GPIOA,PCM0_DIN/SIM0_VPPPP/PA_EINT21/PA21,bidirectional,
G15,GPIOC,VCC-PC,power_in,
*,GPIOC,,,
C15,GPIOC,NAND_WE/SPI0_MOSI/PC0,bidirectional,
C16,GPIOC,NAND_ALE/SPI0_MISO/SDC2_DS/PC1,bidirectional,
B16,GPIOC,NAND_CLE/SPI0_CLK/PC2,bidirectional,
B15,GPIOC,NAND_CE1/SPI0_CS/PC3,bidirectional,
F16,GPIOC,NAND_CE0/SPI0_MISO/PC4,bidirectional,
A17,GPIOC,NAND_RE/SDC2_CLK/PC5,bidirectional,
E16,GPIOC,NAND_RB0/SDC2_CMD/PC6,bidirectional,
A16,GPIOC,NAND_RB1/PC7,bidirectional,
B18,GPIOC,NAND_DQ0/SDC2_D0/PC8,bidirectional,
C17,GPIOC,NAND_DQ1/SDC2_D1/PC9,bidirectional,
D17,GPIOC,NAND_DQ2/SDC2_D2/PC10,bidirectional,
C18,GPIOC,NAND_DQ3/SDC2_D3/PC11,bidirectional,
B17,GPIOC,NAND_DQ4/SDC2_D4/PC12,bidirectional,
B19,GPIOC,NAND_DQ5/SDC2_D5/PC13,bidirectional,
F17,GPIOC,NAND_DQ6/SDC2_D6/PC14,bidirectional,
C19,GPIOC,NAND_DQ7/SDC2_D7/PC15,bidirectional,
H16,GPIOC,NAND_DQS/SDC2_RST/PC16,bidirectional,
J15,GPIOD,VCC-PD,power_in,
*,GPIOD,,,
C21,GPIOD,RGMII_RXD3/MII_RXD3/RMII_NULL/DI_TX/TS2_CLK/PD0,bidirectional,
H17,GPIOD,RGMII_RXD2/MII_RXD2/RMII_NULL/DI_RX/TS2_ERR/PD1,bidirectional,
B20,GPIOD,RGMII_RXD1/MII_RXD1/RMII_RXD1/TS2_SYNC/PD2,bidirectional,
H18,GPIOD,RGMII_RXD0/MII_RXD0/RMII_RXD0/TS2_DVLD/PD3,bidirectional,
A20,GPIOD,RGMII_RXCK/MII_RXCK/RMII_NULL/TS2_D0/PD4,bidirectional,
F19,GPIOD,RGMII_RXCTL/MII_RXDV/RMII_CRS_DV/TS2_D1/PD5,bidirectional,
B21,GPIOD,RGMII_NULL/MII_RXERR/RMII_RXER/TS2_D2/PD6,bidirectional,
E18,GPIOD,RGMII_TXD3/MII_TXD3/RMII_NULL/TS2_D3/TS3_CLK/PD7,bidirectional,
E20,GPIOD,RGMII_TXD2/MII_TXD2/RMII_NULL/TS2_D4/TS3_ERR/PD8,bidirectional,
F21,GPIOD,RGMII_TXD1/MII_TXD1/RMII_TXD1/TS2_D5/TS3_SYNC/PD9,bidirectional,
H19,GPIOD,RGMII_TXD0/MII_TXD0/RMII_TXD0/TS2_D6/TS3_DVLD/PD10,bidirectional,
F20,GPIOD,RGMII_NULL/MII_CRS/RMII_NULL/TS2_D7/TS3_D0/PD11,bidirectional,
E19,GPIOD,RGMII_TXCK/MII_TXCK/RMII_TXCK/SIM1_PWREN/PD12,bidirectional,
K17,GPIOD,RGMII_TXCTL/MII_TXEN/RMII_TXEN/SIM1_CLK/PD13,bidirectional,
L17,GPIOD,RGMII_NULL/MII_TXERR/RMII_NULL/SIM1_DATA/PD14,bidirectional,
K18,GPIOD,RGMII_CLKIN/MII_COL/RMII_NULL/SIM1_RST/PD15,bidirectional,
L18,GPIOD,MDC/SIM1_DET/PD16,bidirectional,
L19,GPIOD,MDIO/PD17,bidirectional,
